iso3,var_short,r.squared,adj.r.squared,sigma,statistic,p.value,df,logLik,AIC,BIC,deviance,df.residual,nobs,var_long,residence
SWZ,s_imp_u,1.0610439506567834e-4,-0.16654287820575675,2.6538782867504884,6.366939264179747e-4,0.9806875559572265,1,-18.008956572257333,42.017913144514665,42.256237769554176,42.258419765314244,6,8,Improved,urban
SWZ,s_od_r,0.7332219651956462,0.6798663582347755,4.9693266438808985,13.742172696739578,0.013897447078387675,1,-19.977907331866454,45.95581466373291,45.79354511089885,123.47103646792294,5,7,Open defecation,rural
SWZ,s_od_u,0.6217248897348808,0.546069867681857,0.5316013518493679,8.21789317963765,0.03513048326608266,1,-4.331887040110302,14.663774080220604,14.501504527386544,1.4129999864403768,5,7,Open defecation,urban
SWZ,s_sep_r,0.006249620826100217,-0.9875007583477995,0.9785168240788796,0.006288924217865958,0.9496197451314857,1,-2.543745270963554,11.087490541927108,8.383327407931437,0.957495175005417,1,3,Septic,rural
SWZ,s_sep_u,0.7004994053004983,0.4009988106009965,3.675564340858061,2.338891533765838,0.36866314548725054,1,-6.514017215652622,19.028034431305244,16.323871297309573,13.50977322378735,1,3,Septic,urban
SWZ,s_sew_r,0.005346215291910808,-0.32620504627745217,2.172110448583765,0.01612485281040723,0.9069865218160896,1,-9.696124865989955,25.39224973197991,24.22056346928221,14.154191402540294,3,5,Sewer,rural
SWZ,s_sew_u,0.012376694173319576,-0.3168310744355738,5.060962203402822,0.03759538915384278,0.8586440823671244,1,-13.925411726592124,33.85082345318425,32.67913719048655,76.84001527281585,3,5,Sewer,urban
SWZ,s_shared_r,0.460539048668585,0.28071873155811333,5.266968025668983,2.56110686528072,0.20783075965321124,1,-14.12490295556607,34.24980591113214,33.07811964843444,83.22285655025826,3,5,Shared,rural
SWZ,s_shared_u,0.28982218329370585,0.05309624439160776,8.814366936066925,1.2242941548267199,0.34927320060366007,1,-16.699543589620212,39.399087179240425,38.22740091654273,233.07919345088948,3,5,Shared,urban
SXM,s_imp_u,1,NA,NA,NA,NA,1,Inf,-Inf,-Inf,0,0,2,Improved,urban
SXM,s_od_u,1,NA,NA,NA,NA,1,Inf,-Inf,-Inf,0,0,2,Open defecation,urban
SXM,s_sew_u,1,NA,NA,NA,NA,1,Inf,-Inf,-Inf,0,0,2,Sewer,urban
SYR,s_imp_r,0.6935119328053665,0.5402678992080497,1.7955802104466116,4.525539536682553,0.1672263616051679,1,-6.630772598610893,19.261545197221785,17.420428280581458,6.448216584294996,2,4,Improved,rural
SYR,s_imp_u,0.03280595213167492,-0.4507910718024877,1.1104489537267512,0.067837373904396,0.8188758654080718,1,-4.708517357171198,15.417034714342396,13.575917797702068,2.466193757665673,2,4,Improved,urban
SYR,s_od_r,0.9464581686935468,0.8929163373870936,0.2906016376472962,17.676985370118928,0.14865538002150117,1,1.0985085107730668,3.8029829784538665,1.0988198444581956,0.08444931180329042,1,3,Open defecation,rural
SYR,s_od_u,0.03716466277634415,-0.9256706744473118,0.07513108885338425,0.03859918860426206,0.8764983623082669,1,5.156665352734249,-4.313330705468498,-7.017493839464169,0.0056446805122951195,1,3,Open defecation,urban
SYR,s_sep_r,1,NA,NA,NA,NA,1,Inf,-Inf,-Inf,0,0,2,Septic,rural
SYR,s_sep_u,1,NA,NA,NA,NA,1,Inf,-Inf,-Inf,0,0,2,Septic,urban
SYR,s_sew_r,0.5858765144552399,0.17175302891047983,4.092007488905866,1.4147386827978292,0.4450568915369161,1,-6.8360042012751645,19.67200840255033,16.967845268554658,16.74452528926169,1,3,Sewer,rural
SYR,s_sew_u,0.556283470280051,0.11256694056010197,0.6687558685049553,1.253691113628668,0.46409272384746597,1,-1.4018885501841196,8.80377710036824,6.099613966372568,0.447234411659817,1,3,Sewer,urban
SYR,s_shared_r,0.013899181659662765,-0.9722016366806745,5.970447565401118,0.01409509190252561,0.9247708834526991,1,-7.969362847632006,21.93872569526401,19.23456256126834,35.64624413120414,1,3,Shared,rural
SYR,s_shared_u,0.6658779581752297,0.3317559163504593,2.2508035628015457,1.9929183795795435,0.3923589601999454,1,-5.042759041052685,16.08551808210537,13.3813549481097,5.066116678320131,1,3,Shared,urban
TCD,s_imp_r,0.06060411515239786,-0.17424485605950268,2.3847553178580934,0.2580556978370398,0.6381911851242454,1,-12.511815036809542,31.023630073619085,30.398908481303252,22.74823170420982,4,6,Improved,rural
TCD,s_imp_u,0.8432634073408709,0.8040792591760886,3.200030620229155,21.52052416182866,0.00974113560062791,1,-14.276198146392609,34.55239629278522,33.92767470046938,40.96078388161676,4,6,Improved,urban
TCD,s_od_r,0.5085517985902624,0.3856897482378281,3.4853816843556533,4.139209765191633,0.11163904148309321,1,-14.788701236515486,35.57740247303097,34.952680880715135,48.5915419425674,4,6,Open defecation,rural
TCD,s_od_u,0.23145422636273177,0.03931778295341459,0.927840673438639,1.2046346973835371,0.3340306065871036,1,-6.847864380657896,19.69572876131579,19.071007168999955,3.443553261148268,4,6,Open defecation,urban
TCD,s_sep_r,0.6664845528404256,0.4997268292606385,0.08658820605286363,3.9967237410838017,0.18361494817676527,1,5.4969068741183555,-4.993813748236711,-6.83493066487704,0.014995034854906338,2,4,Septic,rural
TCD,s_sep_u,0.30059598896956663,-0.049106016545650055,1.4821512028849058,0.8595775381004691,0.4517336514342991,1,-5.863437963329602,17.726875926659204,15.885759010018877,4.393544376426346,2,4,Septic,urban
TCD,s_sew_r,0.043395409849821424,-0.19575573768772325,0.18106836271339158,0.18145599674786725,0.6920464971617215,1,2.956047871951365,0.0879042560972696,-0.5368173362185651,0.13114300790283334,4,6,Sewer,rural
TCD,s_sew_u,0.14766644344106883,-0.06541694569866396,0.9115380211106358,0.6929983798231885,0.45196130552849395,1,-6.741504036601864,19.483008073203727,18.85828648088789,3.323606255721175,4,6,Sewer,urban
TCD,s_shared_r,0.26207493308385493,-0.47585013383229,11.75563302495854,0.3551511458732382,0.6578595366555289,1,-10.001894762885135,26.00378952577027,23.2996263917746,138.19490781749585,1,3,Shared,rural
